id,codigo_colonia,codigo_postal,nombre_colonia
sat_colonia_1,0001,01000,San Ángel
sat_colonia_2,0001,16514,Tetitla la Gallera
sat_colonia_3,0001,20000,Zona Centro
sat_colonia_4,0001,20339,San José (San José de los Rodríguez)
sat_colonia_5,0001,20406,Rinconada de las Piedras
sat_colonia_6,0001,20656,Carboneras
sat_colonia_7,0001,20680,Las Ánimas
sat_colonia_8,0001,20700,Guadalupe
sat_colonia_9,0001,20854,Parque Industrial Calvillo
sat_colonia_10,0001,20926,Rincón del Pilar
sat_colonia_11,0001,21000,Centro Cívico
sat_colonia_12,0001,21453,Piedra Angular
sat_colonia_13,0001,22126,Cañón Palmas
sat_colonia_14,0001,22706,Colinas de Mazatlán
sat_colonia_15,0001,22785,Siena Residencial
sat_colonia_16,0001,23000,Zona Central
sat_colonia_17,0001,23462,Leonardo Gastélum Quinta Etapa
sat_colonia_18,0001,23620,Vargas
sat_colonia_19,0001,24000,San Francisco de Campeche Centro
sat_colonia_20,0001,24153,Residencial Las Palmas
sat_colonia_21,0001,24207,Cronos
sat_colonia_22,0001,24344,Tres de Mayo Tres
sat_colonia_23,0001,24353,Miguel Hidalgo (Caracol)
sat_colonia_24,0001,24640,Bellavista
sat_colonia_25,0001,24933,Los Tres Reyes
sat_colonia_26,0001,25000,Saltillo Zona Centro
sat_colonia_27,0001,25352,Autopista
sat_colonia_28,0001,25743,Las Misiones
sat_colonia_29,0001,25903,Rincón del Valle
sat_colonia_30,0001,26015,Los Laureles
sat_colonia_31,0001,26174,El Manantial
sat_colonia_32,0001,26234,Veracruz
sat_colonia_33,0001,26350,Armando Guadiana Tijerina
sat_colonia_34,0001,26510,Álvaro Luna
sat_colonia_35,0001,26729,La Capilla
sat_colonia_36,0001,26820,Mina Siete
sat_colonia_37,0001,27087,Quintas los Nogales
sat_colonia_38,0001,27448,Ladrillera
sat_colonia_39,0001,27545,Chula Vista
sat_colonia_40,0001,27905,Residencial Paraíso
sat_colonia_41,0001,27987,Rogelio Montemayor
sat_colonia_42,0001,28000,Colima Centro
sat_colonia_43,0001,28134,San Ignacio
sat_colonia_44,0001,28307,Hacienda las Primaveras
sat_colonia_45,0001,28400,Valle de las Huertas
sat_colonia_46,0001,28507,Valle Real
sat_colonia_47,0001,28700,Los Gobernadores
sat_colonia_48,0001,28750,27 de Octubre
sat_colonia_49,0001,28864,Almendros Residencial II
sat_colonia_50,0001,28978,Residencial Bosque Real
sat_colonia_51,0001,29000,Tuxtla Gutiérrez Centro
sat_colonia_52,0001,29127,El Carmelo
sat_colonia_53,0001,29130,Lomas del Pedregal
sat_colonia_54,0001,29148,Salvador Urbina
sat_colonia_55,0001,29150,Nandayalu
sat_colonia_56,0001,29180,Cabeza de Agua (San Antonio)
sat_colonia_57,0001,29300,Las Palmas Huitepec 3a. Sección
sat_colonia_58,0001,29326,Pajaltón Bajo
sat_colonia_59,0001,29345,Nuevo Porvenir
sat_colonia_60,0001,29369,Chiquinivalvo
sat_colonia_61,0001,29405,Laguna del Carmen
sat_colonia_62,0001,29416,Benito Juárez
sat_colonia_63,0001,29439,San Caralampio Chavín
sat_colonia_64,0001,29446,La Mendoza
sat_colonia_65,0001,29454,El Tzay
sat_colonia_66,0001,29474,San Pedro la Tejería
sat_colonia_67,0001,29489,Chuljá
sat_colonia_68,0001,29490,Xoctón (Xoctoctic)
sat_colonia_69,0001,29500,Nueva Esperanza
sat_colonia_70,0001,29540,Nuevo Sunuapa
sat_colonia_71,0001,29553,Playa de Piedra 2da. Sección
sat_colonia_72,0001,29560,Rivera el Viejo Carmen
sat_colonia_73,0001,29572,Loma de Caballo 2a. Sección
sat_colonia_74,0001,29586,Álvaro Obregón
sat_colonia_75,0001,29596,Nuevo Poblado Llanos Morelos
sat_colonia_76,0001,29610,El Edén
sat_colonia_77,0001,29620,San Francisco
sat_colonia_78,0001,29660,San Juan
sat_colonia_79,0001,29670,Magdalena
sat_colonia_80,0001,29684,San José Plan Ocotal
sat_colonia_81,0001,29706,Miguel Hidalgo
sat_colonia_82,0001,29710,Arroyo Sabinal
sat_colonia_83,0001,29729,Monte Chico
sat_colonia_84,0001,29744,La Unión Nueva
sat_colonia_85,0001,29753,Santa Rita
sat_colonia_86,0001,29760,Xitoltepeque
sat_colonia_87,0001,29770,Guadalupe I
sat_colonia_88,0001,29795,San José Chacté
sat_colonia_89,0001,29816,Jesús Carranza
sat_colonia_90,0001,29840,San Isidro
sat_colonia_91,0001,29853,Jolik-alum
sat_colonia_92,0001,29863,Meonho
sat_colonia_93,0001,29876,Canolal
sat_colonia_94,0001,29884,Las Limas
sat_colonia_95,0001,29890,Don Pedro
sat_colonia_96,0001,29903,Arroyo Palenque
sat_colonia_97,0001,29917,Esperanza Ocotal
sat_colonia_98,0001,29920,Santa Bárbara
sat_colonia_99,0001,29926,San Vicente
sat_colonia_100,0001,29943,San Miguel Catarraya
sat_colonia_101,0001,29954,Ramón F. Balboa
sat_colonia_102,0001,29962,El Retiro
sat_colonia_103,0001,29974,Benito Juárez Centro
sat_colonia_104,0001,29990,Boca del Río Chico
