id,codigo_pais,nombre_pais,formato_codigo_postal,formato_registro,validacion_registro,agrupaciones
sat_pais_129,KWT,Kuwait,,,,
sat_pais_130,LAO,"Lao, (la) República Democrática Popular",,,,
sat_pais_131,LSO,Lesoto,,,,
sat_pais_132,LVA,Letonia,,,,Unión Europea
sat_pais_133,LBN,Líbano,,,,
sat_pais_134,LBR,Liberia,,,,
sat_pais_135,LBY,Libia,,,,
sat_pais_136,LIE,Liechtenstein,,,,
sat_pais_137,LTU,Lituania,,,,Unión Europea
sat_pais_138,LUX,Luxemburgo,,,,Unión Europea
sat_pais_139,MAC,Macao,,,,
sat_pais_140,MDG,Madagascar,,,,
sat_pais_141,MYS,Malasia,,,,
sat_pais_142,MWI,Malaui,,,,
sat_pais_143,MDV,Maldivas,,,,
sat_pais_144,MLI,Malí,,,,
sat_pais_145,MLT,Malta,,,,Unión Europea
sat_pais_146,MAR,Marruecos,,,,
sat_pais_147,MTQ,Martinica,,,,
sat_pais_148,MUS,Mauricio,,,,
sat_pais_149,MRT,Mauritania,,,,
sat_pais_150,MYT,Mayotte,,,,
sat_pais_151,MEX,México,[0-9]{5},"[A-Z&Ñ]{3,4}[0-9]{2}(0[1-9]|1[012])(0[1-9]|[12][0-9]|3[01])[A-Z0-9]{2}[0
-9A]",Lista del SAT,TLCAN
sat_pais_152,FSM,Micronesia (los Estados Federados de),,,,
sat_pais_153,MDA,Moldavia (la República de),,,,
sat_pais_154,MCO,Mónaco,,,,
sat_pais_155,MNG,Mongolia,,,,
sat_pais_156,MNE,Montenegro,,,,
sat_pais_157,MSR,Montserrat,,,,
sat_pais_158,MOZ,Mozambique,,,,
sat_pais_159,NAM,Namibia,,,,
sat_pais_160,NRU,Nauru,,,,
sat_pais_161,NPL,Nepal,,,,
sat_pais_162,NIC,Nicaragua,,,,
sat_pais_163,NER,Níger (el),,,,
sat_pais_164,NGA,Nigeria,,,,
sat_pais_165,NIU,Niue,,,,
sat_pais_166,NOR,Noruega,,,,
sat_pais_167,NCL,Nueva Caledonia,,,,
sat_pais_168,NZL,Nueva Zelanda,,,,
sat_pais_169,OMN,Omán,,,,
sat_pais_170,NLD,Países Bajos (los),,,,Unión Europea
sat_pais_171,PAK,Pakistán,,,,
sat_pais_172,PLW,Palaos,,,,
sat_pais_173,PSE,"Palestina, Estado de",,,,
sat_pais_174,PAN,Panamá,,,,
sat_pais_175,PNG,Papúa Nueva Guinea,,,,
sat_pais_176,PRY,Paraguay,,,,
sat_pais_177,PER,Perú,,,,
sat_pais_178,PYF,Polinesia Francesa,,,,
sat_pais_179,POL,Polonia,,,,Unión Europea
sat_pais_180,PRT,Portugal,,,,Unión Europea
sat_pais_181,PRI,Puerto Rico,,,,
sat_pais_182,GBR,Reino Unido (el),,,,Unión Europea
sat_pais_183,CAF,República Centroafricana (la),,,,
sat_pais_184,CZE,República Checa (la),,,,Unión Europea
sat_pais_185,MKD,Macedonia (la antigua República Yugoslava de),,,,
sat_pais_186,COG,Congo,,,,
sat_pais_187,COD,Congo (la República Democrática del),,,,
sat_pais_188,DOM,República Dominicana (la),,,,
sat_pais_189,REU,Reunión,,,,
sat_pais_190,RWA,Ruanda,,,,
sat_pais_191,ROU,Rumania,,,,Unión Europea
sat_pais_192,RUS,"Rusia, (la) Federación de",,,,
sat_pais_193,ESH,Sahara Occidental,,,,
sat_pais_194,WSM,Samoa,,,,
sat_pais_195,ASM,Samoa Americana,,,,
sat_pais_196,BLM,San Bartolomé,,,,
sat_pais_197,KNA,San Cristóbal y Nieves,,,,
sat_pais_198,SMR,San Marino,,,,
sat_pais_199,MAF,San Martín (parte francesa),,,,
sat_pais_200,SPM,San Pedro y Miquelón,,,,
sat_pais_201,VCT,San Vicente y las Granadinas,,,,
sat_pais_202,SHN,"Santa Helena, Ascensión y Tristán de Acuña",,,,
sat_pais_203,LCA,Santa Lucía,,,,
sat_pais_204,STP,Santo Tomé y Príncipe,,,,
sat_pais_205,SEN,Senegal,,,,
sat_pais_206,SRB,Serbia,,,,
sat_pais_207,SYC,Seychelles,,,,
sat_pais_208,SLE,Sierra leona,,,,
sat_pais_209,SGP,Singapur,,,,
sat_pais_210,SXM,Sint Maarten (parte holandesa),,,,
sat_pais_211,SYR,"Siria, (la) República Árabe",,,,
sat_pais_212,SOM,Somalia,,,,
sat_pais_213,LKA,Sri Lanka,,,,
sat_pais_214,SWZ,Suazilandia,,,,
sat_pais_215,ZAF,Sudáfrica,,,,
sat_pais_216,SDN,Sudán (el),,,,
sat_pais_217,SSD,Sudán del Sur,,,,
sat_pais_218,SWE,Suecia,,,,Unión Europea
sat_pais_219,CHE,Suiza,,,,
