id,codigo_municipio,codigo_estado,nombre_municipio
sat_municipio_144,005,NLE,Anáhuac
sat_municipio_145,005,OAX,Asunción Ixtaltepec
sat_municipio_146,005,PUE,Acteopan
sat_municipio_147,005,QUE,Colón
sat_municipio_148,005,ROO,Benito Juárez
sat_municipio_149,005,SIN,Cosalá
sat_municipio_150,005,SLP,Cárdenas
sat_municipio_151,005,SON,Arivechi
sat_municipio_152,005,TAB,Comalcalco
sat_municipio_153,005,TAM,Burgos
sat_municipio_154,005,TLA,Apizaco
sat_municipio_155,005,VER,Acula
sat_municipio_156,005,YUC,Bokobá
sat_municipio_157,005,ZAC,Calera
sat_municipio_158,006,AGU,Pabellón de Arteaga
sat_municipio_159,006,CAM,Hopelchén
sat_municipio_160,006,COA,Castaños
sat_municipio_161,006,COL,Ixtlahuacán
sat_municipio_162,006,CHH,Bachíniva
sat_municipio_163,006,CHP,Amatenango de la Frontera
sat_municipio_164,006,DIF,Iztacalco
sat_municipio_165,006,DUR,General Simón Bolívar
sat_municipio_166,006,GRO,Apaxtla
sat_municipio_167,006,GUA,Atarjea
sat_municipio_168,006,HID,Alfajayucan
sat_municipio_169,006,JAL,Ameca
sat_municipio_170,006,MEX,Almoloya del Río
sat_municipio_171,006,MIC,Apatzingán
sat_municipio_172,006,MOR,Cuautla
sat_municipio_173,006,NAY,Ixtlán del Río
sat_municipio_174,006,NLE,Apodaca
sat_municipio_175,006,OAX,Asunción Nochixtlán
sat_municipio_176,006,PUE,Ahuacatlán
sat_municipio_177,006,QUE,Corregidora
sat_municipio_178,006,ROO,José María Morelos
sat_municipio_179,006,SIN,Culiacán
sat_municipio_180,006,SLP,Catorce
sat_municipio_181,006,SON,Arizpe
sat_municipio_182,006,TAB,Cunduacán
sat_municipio_183,006,TAM,Bustamante
sat_municipio_184,006,TLA,Calpulalpan
sat_municipio_185,006,VER,Acultzingo
sat_municipio_186,006,YUC,Buctzotz
sat_municipio_187,006,ZAC,Cañitas de Felipe Pescador
sat_municipio_188,007,AGU,Rincón de Romos
sat_municipio_189,007,CAM,Palizada
sat_municipio_190,007,COA,Cuatro Ciénegas
sat_municipio_191,007,COL,Manzanillo
sat_municipio_192,007,CHH,Balleza
sat_municipio_193,007,CHP,Amatenango del Valle
sat_municipio_194,007,DIF,Iztapalapa
sat_municipio_195,007,DUR,Gómez Palacio
sat_municipio_196,007,GRO,Arcelia
sat_municipio_197,007,GUA,Celaya
sat_municipio_198,007,HID,Almoloya
sat_municipio_199,007,JAL,San Juanito de Escobedo
sat_municipio_200,007,MEX,Amanalco
sat_municipio_201,007,MIC,Aporo
sat_municipio_202,007,MOR,Cuernavaca
sat_municipio_203,007,NAY,Jala
sat_municipio_204,007,NLE,Aramberri
sat_municipio_205,007,OAX,Asunción Ocotlán
sat_municipio_206,007,PUE,Ahuatlán
sat_municipio_207,007,QUE,Ezequiel Montes
sat_municipio_208,007,ROO,Lázaro Cárdenas
sat_municipio_209,007,SIN,Choix
sat_municipio_210,007,SLP,Cedral
sat_municipio_211,007,SON,Atil
sat_municipio_212,007,TAB,Emiliano Zapata
sat_municipio_213,007,TAM,Camargo
sat_municipio_214,007,TLA,El Carmen Tequexquitla
sat_municipio_215,007,VER,Camarón de Tejeda
sat_municipio_216,007,YUC,Cacalchén
sat_municipio_217,007,ZAC,Concepción del Oro
sat_municipio_218,008,AGU,San José de Gracia
sat_municipio_219,008,BCS,Los Cabos
sat_municipio_220,008,CAM,Tenabo
sat_municipio_221,008,COA,Escobedo
sat_municipio_222,008,COL,Minatitlán
sat_municipio_223,008,CHH,Batopilas
sat_municipio_224,008,CHP,Angel Albino Corzo
sat_municipio_225,008,DIF,La Magdalena Contreras
sat_municipio_226,008,DUR,Guadalupe Victoria
sat_municipio_227,008,GRO,Atenango del Río
sat_municipio_228,008,GUA,Manuel Doblado
sat_municipio_229,008,HID,Apan
sat_municipio_230,008,JAL,Arandas
sat_municipio_231,008,MEX,Amatepec
sat_municipio_232,008,MIC,Aquila
sat_municipio_233,008,MOR,Emiliano Zapata
sat_municipio_234,008,NAY,Xalisco
sat_municipio_235,008,NLE,Bustamante
sat_municipio_236,008,OAX,Asunción Tlacolulita
sat_municipio_237,008,PUE,Ahuazotepec
sat_municipio_238,008,QUE,Huimilpan
sat_municipio_239,008,ROO,Solidaridad
sat_municipio_240,008,SIN,Elota
sat_municipio_241,008,SLP,Cerritos
sat_municipio_242,008,SON,Bacadéhuachi
sat_municipio_243,008,TAB,Huimanguillo
sat_municipio_244,008,TAM,Casas
sat_municipio_245,008,TLA,Cuapiaxtla
sat_municipio_246,008,VER,Alpatláhuac
sat_municipio_247,008,YUC,Calotmul
sat_municipio_248,008,ZAC,Cuauhtémoc
sat_municipio_249,009,AGU,Tepezalá
sat_municipio_250,009,BCS,Loreto
sat_municipio_251,009,CAM,Escárcega
sat_municipio_252,009,COA,Francisco I. Madero
sat_municipio_253,009,COL,Tecomán
sat_municipio_254,009,CHH,Bocoyna
sat_municipio_255,009,CHP,Arriaga
sat_municipio_256,009,DIF,Milpa Alta
sat_municipio_257,009,DUR,Guanaceví
sat_municipio_258,009,GRO,Atlamajalcingo del Monte
sat_municipio_259,009,GUA,Comonfort
sat_municipio_260,009,HID,El Arenal
sat_municipio_261,009,JAL,El Arenal
sat_municipio_262,009,MEX,Amecameca
sat_municipio_263,009,MIC,Ario
sat_municipio_264,009,MOR,Huitzilac
sat_municipio_265,009,NAY,Del Nayar
sat_municipio_266,009,NLE,Cadereyta Jiménez
sat_municipio_267,009,OAX,Ayotzintepec
sat_municipio_268,009,PUE,Ahuehuetitla
sat_municipio_269,009,QUE,Jalpan de Serra
sat_municipio_270,009,ROO,Tulum
sat_municipio_271,009,SIN,Escuinapa
sat_municipio_272,009,SLP,Cerro de San Pedro
